StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q3_4_TEXT,Q5,Q6,Q8,Q10,Q11,Q12,Q13,Q14,Q15,Q16_1,Q17
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to taking our survey?,Select your gender: - Selected Choice,"Select your gender: - Other, please specify - Text","In general, do you think of yourself as a Republican, Democrat, independent, or what?",Do you think of yourself as being closer to the Democratic or Republican Party?,Do you think of yourself as a strong [QID5-ChoiceGroup-SelectedChoices] or a not very strong [QID5-ChoiceGroup-SelectedChoices] ?,"When it comes to current American politics, how aware do you consider yourself?","We are interested in the guesses people make when they do not know the answer to a question. We will ask you several questions. Some may be easy, but others are meant to be so difficult that your will have to guess.",Who is the current Speaker of the House? (please do not look this up before answering for our survey purposes),Kamala Harris served as the Attorney General for which of the following states?,Who was the first woman elected to Congress?,The answers to the previous questions are as follows: The current Speaker of the House is Kevin McCarthy; Kamala Harris served as the Attorney General for the State of California; the first woman elected to Congress was Jeannette Rankin. Did you look up the answer to these questions?,"To the best of your knowledge, what percentage of Congress do you think is made up of women? - What Percent of Congress is made up of Women",The answer to the previous question is women make up 28% of Congress. Did you look up the statistic before answering the previous question?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID8""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17""}"
2023-04-18 14:54:54,2023-04-18 14:56:52,IP Address,98.122.143.44,100,118,True,2023-04-18 14:56:53,R_vZTFaPzDKeZ8p5n,,,,,35.7965,-78.7981,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Dianne Feinstein,I gave my best guess without looking it up,15,I gave my best guess without looking it up
2023-04-18 15:04:29,2023-04-18 15:05:35,IP Address,104.222.21.241,100,66,True,2023-04-18 15:05:36,R_3KHe3e2XdWxX81p,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,California,Barbara A. Mikulski,I gave my best guess without looking it up,31,I gave my best guess without looking it up
2023-04-18 15:06:53,2023-04-18 15:09:02,IP Address,24.211.129.90,100,129,True,2023-04-18 15:09:03,R_enZbJ0iQyvCRoIx,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Paul Ryan,California,Paula Hawkins,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 15:06:57,2023-04-18 15:09:19,IP Address,174.210.65.162,100,142,True,2023-04-18 15:09:20,R_1luxUoNxtWgb8Zp,,,,,35.2316,-80.8428,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,16,I gave my best guess without looking it up
2023-04-18 15:08:35,2023-04-18 15:09:38,IP Address,174.216.5.243,100,62,True,2023-04-18 15:09:38,R_2Y579RjjPX0kGC2,,,,,35.2135,-80.8218,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Hakeem Jeffries,California,Dianne Feinstein,I gave my best guess without looking it up,18,I gave my best guess without looking it up
2023-04-18 15:08:33,2023-04-18 15:10:15,IP Address,152.23.201.117,100,102,True,2023-04-18 15:10:16,R_3npDNHVxorFL8BQ,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Don't know/Other,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,19,I gave my best guess without looking it up
2023-04-18 15:10:39,2023-04-18 15:11:47,IP Address,107.77.234.38,100,68,True,2023-04-18 15:11:48,R_307P1C4q90dTC3X,,,,,33.7485,-84.3871,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Barbara A. Mikulski,I gave my best guess without looking it up,22,I gave my best guess without looking it up
2023-04-18 15:11:59,2023-04-18 15:13:26,IP Address,98.122.143.44,100,86,True,2023-04-18 15:13:26,R_xGkHPQ0KuctT5hT,,,,,35.7965,-78.7981,anonymous,EN,I consent to taking the survey,Non-binary / third gender,,Independent,Closer to the Democratic Party,,Not Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,35,I gave my best guess without looking it up
2023-04-18 15:12:36,2023-04-18 15:15:05,IP Address,107.77.237.186,100,149,True,2023-04-18 15:15:06,R_3s5pT7uvEMUxvn0,,,,,33.7485,-84.3871,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-18 15:16:19,2023-04-18 15:17:45,IP Address,174.238.97.198,100,86,True,2023-04-18 15:17:46,R_2vZARbPyGjTr4OW,,,,,34.5607,-78.7801,anonymous,EN,I consent to taking the survey,Female,,Republican,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,Illinois,Jeannette Rankin,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 15:24:46,2023-04-18 15:26:06,IP Address,166.199.170.7,100,80,True,2023-04-18 15:26:07,R_dbTRmwzwpT0yXWV,,,,,34.074,-118.2611,anonymous,EN,I consent to taking the survey,Female,,Democrat,,,Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 15:33:26,2023-04-18 15:34:52,IP Address,76.36.235.128,100,86,True,2023-04-18 15:34:53,R_3KDtDirhX5LQ5h5,,,,,35.9806,-78.8426,anonymous,EN,I consent to taking the survey,Female,,Don't know/Other,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,22,I gave my best guess without looking it up
2023-04-18 15:34:53,2023-04-18 15:35:56,IP Address,45.37.118.169,100,62,True,2023-04-18 15:35:57,R_3G6Zy2sVTVbGiBT,,,,,35.961,-78.9291,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,39,I gave my best guess without looking it up
2023-04-18 15:57:48,2023-04-18 15:59:49,IP Address,98.26.107.66,100,121,True,2023-04-18 15:59:49,R_3s4CjnpeDRNTkNC,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Non-binary / third gender,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Dianne Feinstein,I gave my best guess without looking it up,22,I gave my best guess without looking it up
2023-04-18 16:02:09,2023-04-18 16:03:40,IP Address,172.56.65.66,100,90,True,2023-04-18 16:03:41,R_11gSVI8iImF68EX,,,,,33.7474,-84.3747,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Paula Hawkins,I gave my best guess without looking it up,35,I gave my best guess without looking it up
2023-04-18 16:02:45,2023-04-18 16:04:53,IP Address,4.18.201.150,100,127,True,2023-04-18 16:04:53,R_Oy8b5Gw4hyeAA4V,,,,,35.797,-78.6865,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,Illinois,Barbara A. Mikulski,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-18 16:04:53,2023-04-18 16:06:13,IP Address,152.23.49.215,100,80,True,2023-04-18 16:06:14,R_1dMrUERnwRG7B3t,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 16:04:11,2023-04-18 16:06:37,IP Address,104.28.32.222,100,146,True,2023-04-18 16:06:38,R_1HqVt6FDLlUkaR4,,,,,35.7704,-78.6293,anonymous,EN,I consent to taking the survey,Male,,Don't know/Other,I am not closer to either party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,17,I gave my best guess without looking it up
2023-04-18 16:25:55,2023-04-18 16:27:19,IP Address,153.33.182.36,100,84,True,2023-04-18 16:27:20,R_3P6vd1ON49X9K1D,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 16:42:16,2023-04-18 16:43:11,IP Address,107.77.236.71,100,55,True,2023-04-18 16:43:12,R_3g5ZomZzmyQQ9Pf,,,,,37.751,-97.822,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Dianne Feinstein,I gave my best guess without looking it up,19,I gave my best guess without looking it up
2023-04-18 16:58:12,2023-04-18 17:05:28,IP Address,152.23.70.83,100,436,True,2023-04-18 17:05:30,R_2qDZwJTyuvKGcLP,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Dianne Feinstein,I gave my best guess without looking it up,41,I gave my best guess without looking it up
2023-04-18 17:05:56,2023-04-18 17:07:17,IP Address,172.58.254.148,100,81,True,2023-04-18 17:07:18,R_2WCln4fOQR7d15p,,,,,35.21,-80.8512,anonymous,EN,I consent to taking the survey,Male,,Independent,Closer to the Democratic Party,,Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Barbara A. Mikulski,I gave my best guess without looking it up,30,I gave my best guess without looking it up
2023-04-18 17:17:57,2023-04-18 17:18:59,IP Address,98.26.20.153,100,61,True,2023-04-18 17:18:59,R_2BfeVOgag7uQfXE,,,,,35.9151,-79.0972,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 17:48:50,2023-04-18 17:50:22,IP Address,152.23.129.133,100,91,True,2023-04-18 17:50:23,R_3IWujvBUHoUUEie,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Not Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 17:50:12,2023-04-18 17:51:33,IP Address,152.23.74.58,100,80,True,2023-04-18 17:51:33,R_2dijT9u60xfGgLK,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Barbara A. Mikulski,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 18:07:57,2023-04-18 18:09:50,IP Address,206.74.26.141,100,112,True,2023-04-18 18:09:51,R_28GtkWKS2fiBNEz,,,,,35.9717,-79.9955,anonymous,EN,I consent to taking the survey,Female,,Republican,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Very Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 19:35:30,2023-04-18 19:36:24,IP Address,152.23.46.195,100,54,True,2023-04-18 19:36:24,R_1ILEAyBULcE4FqH,,,,,35.9145,-78.9225,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 19:35:09,2023-04-18 19:36:43,IP Address,152.23.235.209,100,94,True,2023-04-18 19:36:44,R_2y2ubEykpwGTVaq,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 19:34:58,2023-04-18 19:36:44,IP Address,152.23.6.5,100,106,True,2023-04-18 19:36:44,R_3M57oImIWEMZUi0,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Paul Ryan,California,Jeannette Rankin,I gave my best guess without looking it up,15,I gave my best guess without looking it up
2023-04-18 19:34:54,2023-04-18 19:36:45,IP Address,172.59.223.75,100,110,True,2023-04-18 19:36:45,R_NX9M3kqGAPReE9P,,,,,35.2227,-80.7938,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Barbara A. Mikulski,I gave my best guess without looking it up,21,I gave my best guess without looking it up
2023-04-18 19:34:37,2023-04-18 19:36:46,IP Address,152.23.93.76,100,129,True,2023-04-18 19:36:47,R_2czmP6Py9LhfnFT,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,25,I gave my best guess without looking it up
2023-04-18 19:35:52,2023-04-18 19:37:30,IP Address,172.59.223.75,100,98,True,2023-04-18 19:37:31,R_ANy6nBpb13xugbn,,,,,35.2227,-80.7938,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,23,I gave my best guess without looking it up
2023-04-18 19:36:07,2023-04-18 19:38:12,IP Address,152.23.118.68,100,125,True,2023-04-18 19:38:12,R_3ixW8u1PWSjh8t0,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,32,I gave my best guess without looking it up
2023-04-18 19:39:35,2023-04-18 19:40:57,IP Address,152.23.106.131,100,81,True,2023-04-18 19:40:57,R_2Cqx3BWB3nkCYPq,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Paula Hawkins,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-18 19:48:43,2023-04-18 19:50:16,IP Address,174.108.228.163,100,92,True,2023-04-18 19:50:16,R_1DJ9GsEhf4KCcc2,,,,,36.0406,-80.26,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,Illinois,Dianne Feinstein,I gave my best guess without looking it up,38,I gave my best guess without looking it up
2023-04-18 19:56:59,2023-04-18 19:58:39,IP Address,52.124.33.241,100,99,True,2023-04-18 19:58:39,R_3kvMpBt95zmbUg7,,,,,38.4475,-78.8693,anonymous,EN,I consent to taking the survey,Male,,Independent,I am not closer to either party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,,I gave my best guess without looking it up,29,I gave my best guess without looking it up
2023-04-18 20:00:54,2023-04-18 20:02:24,IP Address,152.23.2.187,100,90,True,2023-04-18 20:02:25,R_1FKVNqYbldb3aC2,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Dianne Feinstein,I gave my best guess without looking it up,42,I gave my best guess without looking it up
2023-04-18 20:01:06,2023-04-18 20:02:26,IP Address,172.59.218.241,100,79,True,2023-04-18 20:02:26,R_2chAAR9p19LVp7n,,,,,35.2522,-80.8263,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 20:13:20,2023-04-18 20:15:07,IP Address,74.219.18.3,100,107,True,2023-04-18 20:15:07,R_1F2qu9Uk9hmXZbi,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,9,I gave my best guess without looking it up
2023-04-18 20:16:22,2023-04-18 20:17:20,IP Address,152.23.192.231,100,57,True,2023-04-18 20:17:21,R_2R4fkj2Frhu3zgK,,,,,35.8047,-78.8881,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Moderately Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,California,Jeannette Rankin,I gave my best guess without looking it up,18,I gave my best guess without looking it up
2023-04-18 20:19:20,2023-04-18 20:20:16,IP Address,152.23.69.104,100,55,True,2023-04-18 20:20:16,R_1mxECr33H0JhRmk,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 20:52:13,2023-04-18 20:54:35,IP Address,70.130.77.86,100,142,True,2023-04-18 20:54:35,R_2TXmYV0BWU8N04u,,,,,35.9182,-79.0035,anonymous,EN,I consent to taking the survey,Male,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Paula Hawkins,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-18 21:51:30,2023-04-18 21:53:00,IP Address,152.23.124.208,100,89,True,2023-04-18 21:53:01,R_31HKzFEglaPIIjK,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New York,Jeannette Rankin,I gave my best guess without looking it up,20,I gave my best guess without looking it up
2023-04-18 22:06:47,2023-04-18 22:07:37,IP Address,152.23.142.107,100,50,True,2023-04-18 22:07:38,R_11ciUf6XCWojnfl,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,7,I gave my best guess without looking it up
2023-04-18 23:39:20,2023-04-18 23:43:47,IP Address,152.23.226.1,100,267,True,2023-04-18 23:43:48,R_1kSLw3YjYWsbzmz,,,,,35.9153,-79.0386,anonymous,EN,I consent to taking the survey,Female,,Don't know/Other,Closer to the Democratic Party,,Not Very Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,New Jersey,Barbara A. Mikulski,I gave my best guess without looking it up,32,I gave my best guess without looking it up
2023-04-18 23:52:58,2023-04-18 23:56:02,IP Address,104.28.32.178,100,183,True,2023-04-18 23:56:03,R_xisTM3mqjeyLTFf,,,,,35.9935,-78.9032,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Not very strong ${q://QID5/ChoiceGroup/SelectedChoices},Moderately Aware,I promise to try my best without looking up any answers.,Kevin McCarthy,California,Jeannette Rankin,I gave my best guess without looking it up,40,I gave my best guess without looking it up
2023-04-19 08:05:41,2023-04-19 08:06:46,IP Address,107.77.233.137,100,64,True,2023-04-19 08:06:46,R_Ol4tyrAU94qh26J,,,,,33.7485,-84.3871,anonymous,EN,I consent to taking the survey,Female,,Independent,Closer to the Democratic Party,,Somewhat Unaware,I promise to try my best without looking up any answers.,Nancy Pelosi,New Jersey,Jeannette Rankin,I gave my best guess without looking it up,26,I gave my best guess without looking it up
2023-04-19 08:53:58,2023-04-19 08:56:13,IP Address,152.23.155.159,100,134,True,2023-04-19 08:56:13,R_33dwkKSXg0Btsm7,,,,,36.0958,-79.2743,anonymous,EN,I consent to taking the survey,Female,,Democrat,,Strong ${q://QID5/ChoiceGroup/SelectedChoices},Aware,I promise to try my best without looking up any answers.,Nancy Pelosi,New York,Jeannette Rankin,I gave my best guess without looking it up,30,I gave my best guess without looking it up
